,name_canton,abbreviation_canton,lat,long
0,Aargau,AG,47.449406,8.327494999999999
1,Appenzell Innerrhoden,AI,47.328414,9.409647
2,Appenzell Ausserrhoden,AR,47.38271,9.27186
3,Bern,BE,46.916667,7.466667
4,Baselland,BL,47.482779,7.742975
5,Basel-Stadt,BS,47.558395,7.573271000000001
6,Fribourg,FR,46.718391,7.074008
7,Genève,GE,46.195602,6.148113
8,Glarus,GL,47.04057,9.068036
9,Graubünden,GR,46.796756,10.305946
10,Jura,JU,47.350744,7.156107
11,Luzern,LU,47.083333,8.266667
12,Neuchatel,NE,46.995534,6.780125999999999
13,Nidwalden,NW,46.95805,8.36609
14,Obwalden,OW,46.898509,8.250681
15,St.Gallen,SG,47.43162,9.39845
16,Schaffhausen,SH,47.71357,8.59167
17,Solothurn,SO,47.206649,7.516605
18,Schwyz,SZ,47.061787,8.756585000000001
19,Thurgau,TG,47.55993,8.8998
20,Ticino,TI,46.009279,8.955575999999997
21,Uri,UR,46.880422,8.644409
22,Vaud,VD,46.5369,6.58478
23,Valais,VS,46.209567,7.604659
24,Zug,ZG,47.157296,8.537294000000001
25,Zürich,ZH,47.451542,8.564572
